iter	Passed	Remaining
0	48	9647
1	217	21581
2	335	22039
3	539	26448
4	590	23031
5	719	23273
6	904	24945
7	1072	25745
8	1234	26204
9	1419	26969
10	1591	27345
11	1632	25570
12	1808	26017
13	1999	26569
14	2161	26654
15	2207	25391
16	2377	25597
17	2438	24658
18	2611	24875
19	2751	24767
20	2909	24801
21	2959	23943
22	3097	23838
23	3251	23842
24	3404	23831
25	3538	23682
26	3734	23930
27	3909	24012
28	4082	24075
29	4248	24073
30	4354	23739
31	4455	23391
32	4681	23690
33	4859	23727
34	5035	23739
35	5257	23949
36	5434	23939
37	5661	24134
38	5919	24438
39	6112	24448
40	6286	24377
41	6458	24295
42	6638	24239
43	6772	24011
44	6956	23961
45	7148	23933
46	7336	23884
47	7580	24003
48	7803	24046
49	8049	24149
50	8246	24093
51	8433	24003
52	8599	23850
53	8791	23770
54	9033	23815
55	9215	23697
56	9392	23564
57	9564	23415
58	9623	22999
59	9689	22608
60	9871	22494
61	10047	22363
62	10224	22234
63	10439	22183
64	10646	22111
65	10810	21949
66	10975	21786
67	11009	21370
68	11165	21197
69	11375	21126
70	11533	20954
71	11741	20873
72	11891	20688
73	12049	20516
74	12095	20158
75	12260	20003
76	12399	19806
77	12597	19704
78	12772	19562
79	12835	19252
80	13002	19102
81	13143	18913
82	13291	18735
83	13433	18550
84	13586	18381
85	13741	18216
86	13892	18044
87	14080	17920
88	14254	17778
89	14470	17686
90	14636	17531
91	14812	17388
92	14963	17215
93	15130	17061
94	15269	16877
95	15457	16745
96	15615	16581
97	15805	16450
98	15946	16268
99	16103	16103
100	16248	15926
101	16413	15769
102	16542	15578
103	16695	15411
104	16841	15237
105	16999	15075
106	17059	14827
107	17219	14668
108	17366	14498
109	17566	14372
110	17732	14217
111	17894	14059
112	18032	13883
113	18225	13748
114	18395	13596
115	18584	13457
116	18765	13312
117	18931	13155
118	19092	12996
119	19256	12837
120	19427	12683
121	19586	12522
122	19745	12360
123	19918	12207
124	20070	12042
125	20212	11871
126	20356	11700
127	20514	11539
128	20691	11388
129	20905	11256
130	21063	11094
131	21228	10935
132	21380	10770
133	21540	10609
134	21751	10473
135	21872	10292
136	22042	10136
137	22194	9971
138	22348	9807
139	22503	9644
140	22660	9482
141	22825	9323
142	22958	9151
143	23123	8992
144	23301	8838
145	23475	8682
146	23635	8521
147	23801	8362
148	23987	8210
149	24161	8053
150	24313	7889
151	24475	7729
152	24647	7571
153	24863	7426
154	25109	7289
155	25294	7134
156	25486	6980
157	25714	6835
158	25906	6680
159	26059	6514
160	26220	6351
161	26390	6190
162	26573	6031
163	26750	5872
164	26908	5707
165	27066	5543
166	27239	5382
167	27436	5225
168	27614	5065
169	27765	4899
170	27914	4734
171	28071	4569
172	28272	4412
173	28447	4250
174	28612	4087
175	28779	3924
176	28955	3762
177	29165	3604
178	29292	3436
179	29436	3270
180	29604	3107
181	29760	2943
182	29918	2779
183	30081	2615
184	30254	2453
185	30461	2292
186	30618	2128
187	30764	1963
188	30932	1800
189	31066	1635
190	31228	1471
191	31416	1309
192	31544	1144
193	31711	980
194	31872	817
195	32064	654
196	32245	491
197	32418	327
198	32631	163
199	32770	0
